year,india,us,uk,russia,china,japan,germany
1969,541844848,202677000,55441750,129664000,796025000,103172000,77909682
1974,607446519,213854000,56229974,133432000,900350000,110162000,78967433
1979,681358553,225055000,56246951,138027000,969005000,115870000,78126350
1984,764664278,235825000,56422072,142745000,1036825000,120018000,77858685
1989,852736160,246819000,57076711,147721000,1118650000,123116000,78751283
1994,942604211,263126000,57865745,148336000,1191835000,124961000,81438348
1999,1034976626,279040000,58682466,147214392,1252735000,126631000,82100243
2004,1126419321,292805298,59987905,144067054,1296075000,127761000,82516260
2009,1214182182,306771529,62276270,142785342,1331260000,128047000,81902307
2014,1295291543,318857056,64559135,143819569,1364270000,127131800,80970732
